execucao,metodo_elitismo,melhor_fitness
1,hibrido,0.0001897893338394382
2,hibrido,0.00019051247856734617
3,hibrido,0.00018946570670708602
4,hibrido,0.0001897893338394382
5,hibrido,0.00019022256039566293
6,hibrido,0.00018758206715438003
7,hibrido,0.00018975332068311195
8,hibrido,0.0001893580761219466
9,hibrido,0.00019051247856734617
10,hibrido,0.0001893580761219466
11,hibrido,0.00019047619047619048
12,hibrido,0.00018975332068311195
13,hibrido,0.00019135093761959434
14,hibrido,0.00019004180919802356
15,hibrido,0.00019051247856734617
16,hibrido,0.00019135093761959434
17,hibrido,0.00019135093761959434
18,hibrido,0.00019036740909956216
19,hibrido,0.00019135093761959434
20,hibrido,0.00019047619047619048
