tamanho_entrada,variacao,tempo_execucao,melhor_fitness
10,Variacao_1,0.8775553703308105,0.00016423057973394647
11,Variacao_1,0.8745520114898682,0.00011901928112354201
12,Variacao_1,1.0018692016601562,0.00011586142973004287
13,Variacao_1,1.0026321411132812,7.659900421294524e-05
14,Variacao_1,0.8106927871704102,5.3310587482674056e-05
15,Variacao_1,0.6704578399658203,3.81286460517787e-05
16,Variacao_1,0.6433091163635254,4.3725404459991255e-05
17,Variacao_1,0.7370004653930664,3.1118717908822155e-05
18,Variacao_1,0.8615498542785645,2.31755081230156e-05
19,Variacao_1,0.7080235481262207,2.1469363218686933e-05
20,Variacao_1,0.9196426868438721,1.7960737827109936e-05
